Fist
Like
Dislike
One
Middle_Finger
Little_Finger
Thumb_Index
Call
Peace
Two_Up
Rock
Three_Gun
Three2
Three
Three3
OK
Four
Palm
Grip
Stop
Grabbing
No_Gesture
